Time(S),Current(A)
80.0,0.0047139
80.1,0.0047086
80.2,0.0047154
80.3,0.0047579
80.4,0.0048696
80.5,0.0056306
80.6,0.0049887
80.7,0.0050504
80.8,0.0050521
80.9,0.0050428
81.0,0.0050283
81.1,0.0050128
81.2,0.0049997
81.3,0.0049912
81.4,0.0049972
81.5,0.0050339
81.6,0.0050706
81.7,0.0050701
81.8,0.0050258
81.9,0.004962
82.0,0.0048987
82.1,0.0048437
82.2,0.0048039
82.3,0.0047797
82.4,0.0047752
82.5,0.0047991
82.6,0.0048869
82.7,0.005837
82.8,0.0052164
82.9,0.0051831
83.0,0.0051346
83.1,0.005097
83.2,0.0050657
83.3,0.005041
83.4,0.0050226
83.5,0.0050077
83.6,0.0049966
83.7,0.0049919
83.8,0.0050059
83.9,0.0050655
84.0,0.0050991
84.1,0.0050896
84.2,0.0050637
84.3,0.0050292
84.4,0.0049801
84.5,0.0049206
84.6,0.0048773
84.7,0.004862
84.8,0.0048884
84.9,0.0049837
85.0,0.0061911
85.1,0.0048778
85.2,0.0050123
85.3,0.0050425
85.4,0.0050429
85.5,0.0050318
85.6,0.0050176
85.7,0.005004
85.8,0.0049957
85.9,0.005022
86.0,0.0050846
86.1,0.0051442
86.2,0.0051538
86.3,0.0051231
86.4,0.0050688
86.5,0.0050235
86.6,0.0049965
86.7,0.004977
86.8,0.0049623
86.9,0.0049667
87.0,0.0050256
87.1,0.0061156
87.2,0.0060179
87.3,0.0053601
87.4,0.0053184
87.5,0.0052505
87.6,0.0051908
87.7,0.0051407
87.8,0.0051012
87.9,0.00507
88.0,0.0050448
88.1,0.0050406
88.2,0.0050783
88.3,0.0051446
88.4,0.0051861
88.5,0.0051818
88.6,0.0051407
88.7,0.0050752
88.8,0.0050067
88.9,0.0049489
89.0,0.004911
89.1,0.0048872
89.2,0.0048721
89.3,0.0048742
89.4,0.0049267
89.5,0.0050256
89.6,0.0043369
89.7,0.0049803
89.8,0.0050199
89.9,0.0050333
90.0,0.0050323
90.1,0.0050269
90.2,0.0050204
90.3,0.0050128
90.4,0.0050063
90.5,0.0050023
90.6,0.0050165
90.7,0.0050727
90.8,0.0051571
90.9,0.0051723
91.0,0.0051488
91.1,0.0051084
91.2,0.0050704
91.3,0.0050492
91.4,0.0050412
91.5,0.0050597
91.6,0.0051227
91.7,0.0065384
91.8,0.0050443
91.9,0.0051786
92.0,0.0052146
92.1,0.0052034
92.2,0.0051788
92.3,0.0051496
92.4,0.005123
92.5,0.0050999
92.6,0.0050873
92.7,0.0050991
92.8,0.0058082
92.9,0.0055036
93.0,0.0055592
93.1,0.005512
93.2,0.0054373
93.3,0.0053767
93.4,0.0053265
93.5,0.0052844
93.6,0.0052698
93.7,0.0059257
93.8,0.0059875
93.9,0.0052966
94.0,0.0053131
94.1,0.0052727
94.2,0.0052213
94.3,0.0051752
94.4,0.0051374
94.5,0.0051078
94.6,0.0050857
94.7,0.0050709
94.8,0.0050737
94.9,0.0061035
95.0,0.0055014
95.1,0.0055525
95.2,0.0055071
95.3,0.0054356
95.4,0.0053773
95.5,0.0053383
95.6,0.0053127
95.7,0.0053001
95.8,0.0053036
95.9,0.0053395
96.0,0.0061605
96.1,0.0051064
96.2,0.0052088
96.3,0.0052361
96.4,0.0052185
96.5,0.005188
96.6,0.0051575
96.7,0.0051307
96.8,0.0051076
96.9,0.0050893
97.0,0.0050902
97.1,0.0089907
97.2,0.0050329
97.3,0.0052423
97.4,0.0053624
97.5,0.0053867
97.6,0.0053572
97.7,0.005314
97.8,0.0052834
97.9,0.0052623
98.0,0.0052432
98.1,0.0052311
98.2,0.0052319
98.3,0.0052589
98.4,0.0053441
98.5,0.0064722
98.6,0.0053725
98.7,0.0053632
98.8,0.0053091
98.9,0.0052542
99.0,0.0052047
99.1,0.0051648
99.2,0.0051339
99.3,0.005111
99.4,0.0051055
99.5,0.0051283
99.6,0.0051721
99.7,0.0052477
99.8,0.0053523
99.9,0.0054066
100.0,0.0054094
